GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",1,"...","Personal consumption expenditures",111212.2,117360.1,124922.5,132487.8,138115.6,143456.1,150309.7,160435.4,169514.5,176833.4,183440.2,187838.9,185227.3,190953.9,199013.2,206726.3,211094.7,217291.2,223341.1,231052.7,242121.5,252150.3
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",2,"..."," Goods",43892.3,45587.8,49252.0,51904.5,53008.7,54295.6,56655.1,60169.7,62919.2,65298.1,66982.0,67333.3,63400.5,66430.9,70210.7,72455.3,73589.5,74953.2,74810.7,75968.5,79195.9,82281.1
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",3,"...","  Durable goods",15570.7,16708.7,18172.6,18743.0,19018.6,19831.1,20338.5,21381.3,21819.4,21705.9,21882.3,20365.1,18997.8,19896.7,20625.6,21477.2,22027.7,22834.0,23846.5,24657.6,25886.0,26903.5
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",4,"...","   Motor vehicles and parts",6883.3,7394.6,8028.7,7941.5,8211.7,8508.8,8354.4,8492.4,8208.9,7705.1,7821.9,6720.2,6386.4,6897.4,7207.8,7587.1,7823.1,8346.6,8916.3,9101.1,9501.8,10052.8
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",5,"...","   Furnishings and durable household equipment",3366.0,3577.3,3915.4,4205.9,4228.7,4400.2,4558.4,4823.4,5070.8,5154.0,5070.8,4807.8,4334.4,4515.8,4645.3,4854.5,4977.2,5121.4,5486.0,5833.8,6201.4,6430.1
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",6,"...","   Recreational goods and vehicles",3560.1,3859.9,4193.4,4436.5,4481.6,4734.6,5123.0,5620.9,5946.5,6052.2,6032.9,5914.8,5444.2,5501.6,5622.1,5823.2,5972.9,6019.0,5984.2,6232.2,6641.6,6779.6
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",7,"...","   Other durable goods",1761.2,1877.0,2035.1,2159.2,2096.5,2187.4,2302.8,2444.7,2593.3,2794.7,2956.7,2922.2,2832.8,2982.0,3150.5,3212.4,3254.5,3347.0,3460.1,3490.5,3541.1,3641.0
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",8,"...","  Nondurable goods",28321.6,28879.1,31079.4,33161.5,33990.1,34464.5,36316.6,38788.3,41099.8,43592.2,45099.7,46968.2,44402.8,46534.2,49585.1,50978.1,51561.7,52119.2,50964.1,51310.9,53310.0,55377.6
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",9,"...","   Food and beverages purchased for off-premises consumption",10714.0,10929.7,11370.9,11623.3,11826.8,11909.2,12333.9,13174.4,13898.3,14380.0,14802.3,15457.4,15600.1,15633.1,16116.5,16502.2,16669.1,16962.6,17339.6,17649.8,18042.0,18483.2
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",10,"...","   Clothing and footwear",4731.5,4885.1,5184.8,5282.8,5289.2,5340.5,5409.7,5488.0,5596.0,5681.9,5629.1,5563.5,5384.5,5597.3,5791.4,5900.6,5862.1,5998.5,6122.1,6326.8,6324.7,6579.1
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",11,"...","   Gasoline and other energy goods",3748.2,3421.4,3845.5,4847.6,4886.1,4566.8,5349.7,6295.4,7488.4,8549.2,9288.0,10363.9,7350.2,8655.1,10422.2,10670.1,10556.8,9897.6,7496.7,6684.8,7481.6,8549.1
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",12,"...","   Other nondurable goods",9127.9,9642.9,10678.2,11407.7,11988.1,12648.1,13223.3,13830.4,14117.1,14981.1,15380.3,15583.4,16068.0,16648.7,17255.0,17905.1,18473.7,19260.5,20005.7,20649.5,21461.6,21766.2
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",13,"..."," Services",67319.9,71772.3,75670.5,80583.4,85106.9,89160.5,93654.6,100265.7,106595.3,111535.4,116458.2,120505.6,121826.8,124523.0,128802.5,134271.0,137505.2,142337.9,148530.4,155084.2,162925.6,169869.3
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",14,"...","  Household consumption expenditures (for services)",64403.9,68277.3,71957.5,76510.3,80755.9,84592.5,89310.6,95552.7,101452.2,106021.3,111236.2,114460.2,115702.9,118237.7,122225.3,127212.4,130250.5,134891.6,140872.4,146865.2,154371.6,160737.9
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",15,"...","   Housing and utilities",18210.6,19096.6,20171.9,21344.8,23075.6,23850.9,24890.1,26071.1,28204.8,29603.6,30768.1,32135.3,32491.8,32590.9,33363.4,33776.9,34686.8,35939.6,36922.3,37866.9,39318.6,40732.2
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",16,"...","   Health care",16019.3,17082.6,17800.6,18955.9,20546.3,22428.4,24128.9,26439.8,27947.6,29614.6,31714.2,32667.3,34940.0,36077.1,37558.0,40649.8,41477.2,42754.1,45429.3,48241.4,51218.7,53247.3
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",17,"...","   Transportation services",4103.1,4335.6,4708.2,4976.7,5051.9,4969.4,5046.2,5129.6,5383.8,5456.5,5589.9,5611.9,5235.9,5328.8,5702.7,5897.5,6158.6,6562.1,6822.9,7334.9,7601.4,7937.5
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",18,"...","   Recreation services",5174.6,5295.7,5488.9,5751.4,5796.8,5968.9,6316.3,6769.9,6987.5,7145.9,7575.9,7952.4,7935.5,8230.1,8286.8,8646.5,8967.5,9100.9,9409.7,9874.4,10139.4,10448.4
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",19,"...","   Food services and accommodations",6878.4,7228.6,7713.6,8069.5,8331.5,8695.7,9099.7,9707.3,10235.7,10742.0,11025.5,11252.2,11180.3,11562.5,12073.0,12612.3,12858.0,13318.2,14266.6,14709.8,15219.9,16089.4
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",20,"...","   Financial services and insurance",5800.3,6385.0,7060.4,7900.2,7730.6,8037.5,8529.6,9410.4,10214.3,10438.4,10855.2,10763.8,9781.4,10016.3,10485.6,10619.9,11023.3,11627.9,12244.7,12554.1,13963.2,14812.4
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",21,"...","   Other services",8217.6,8853.2,9013.8,9511.8,10223.3,10641.7,11299.9,12024.6,12478.5,13020.2,13707.4,14077.4,14137.9,14432.0,14755.8,15009.5,15079.1,15588.8,15776.8,16283.8,16910.4,17470.7
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",2916.0,3495.1,3713.0,4073.1,4350.9,4568.1,4344.0,4713.1,5143.1,5514.1,5222.0,6045.3,6123.9,6285.3,6577.2,7058.6,7254.7,7446.3,7658.0,8219.0,8554.0,9131.4
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",23,"...","   Gross output of nonprofit institutions",11271.0,12174.0,12656.0,13393.1,14160.0,14982.0,14716.0,16133.0,17527.1,18227.0,18340.0,19582.4,20394.7,21224.0,21990.4,23056.4,23631.8,24035.4,25197.8,26985.5,28066.0,29473.5
 "18000" ,"Indiana",3,SAEXP1,"Total personal consumption expenditures (PCE) by state","Millions of current dollars",24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions",8355.0,8679.0,8943.0,9320.0,9809.1,10413.9,10372.0,11420.0,12384.0,12713.0,13118.0,13537.1,14270.8,14938.7,15413.1,15997.8,16377.1,16589.1,17539.8,18766.5,19512.0,20342.1
"Note: See the included footnote file."
"SAEXP1: Total personal consumption expenditures (PCE) by state 1/"
"Last updated: October 3, 2019-- new PCE by state statistics for 2018; revised statistics for 2014-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
